emoji,fr_signification,unicode,en_signification
🧚🏾, fée teint moyen foncé ,\U0001f9da\U0001f3fe,fairy medium-dark skin tone
🧚🏼, fée peau moyenne lumière ton ,\U0001f9da\U0001f3fc,fairy medium-light skin tone
🧚🏽, teint moyen de fées ,\U0001f9da\U0001f3fd,fairy medium skin tone
🧆, falafel ,\U0001f9c6,falafel
🍂, tombé feuille ,\U0001f342,fallen leaf
👪, famille ,\U0001f46a,family
👨‍👦, famille garçon homme ,\U0001f468\u200d\U0001f466,family man boy
👨‍👦‍👦, famille garçon garçon homme ,\U0001f468\u200d\U0001f466\u200d\U0001f466,family man boy boy
👨‍👧, famille fille homme ,\U0001f468\u200d\U0001f467,family man girl
👨‍👧‍👦, homme famille fille garçon,\U0001f468\u200d\U0001f467\u200d\U0001f466,family man girl boy
👨‍👧‍👧,famille fille fille homme ,\U0001f468\u200d\U0001f467\u200d\U0001f467,family man girl girl
👨‍👨‍👦, famille garçon homme homme ,\U0001f468\u200d\U0001f468\u200d\U0001f466,family man man boy
👨‍👨‍👦‍👦, homme garçon homme famille garçon ,\U0001f468\u200d\U0001f468\u200d\U0001f466\u200d\U0001f466,family man man boy boy
👨‍👨‍👧, famille fille homme homme ,\U0001f468\u200d\U0001f468\u200d\U0001f467,family man man girl
👨‍👨‍👧‍👦, homme famille homme fille garçon ,\U0001f468\u200d\U0001f468\u200d\U0001f467\u200d\U0001f466,family man man girl boy
👨‍👨‍👧‍👧, homme famille fille fille homme ,\U0001f468\u200d\U0001f468\u200d\U0001f467\u200d\U0001f467,family man man girl girl
👨‍👩‍👦, homme famille femme garçon ,\U0001f468\u200d\U0001f469\u200d\U0001f466,family man woman boy
👨‍👩‍👦‍👦, homme famille femme garçon garçon ,\U0001f468\u200d\U0001f469\u200d\U0001f466\u200d\U0001f466,family man woman boy boy
👨‍👩‍👧, homme famille femme fille ,\U0001f468\u200d\U0001f469\u200d\U0001f467,family man woman girl
👨‍👩‍👧‍👦, famille homme femme fille garçon ,\U0001f468\u200d\U0001f469\u200d\U0001f467\u200d\U0001f466,family man woman girl boy
👨‍👩‍👧‍👧, famille homme femme fille fille ,\U0001f468\u200d\U0001f469\u200d\U0001f467\u200d\U0001f467,family man woman girl girl
👩‍👦, famille femme garçon ,\U0001f469\u200d\U0001f466,family woman boy
👩‍👦‍👦, femme garçon garçon famille ,\U0001f469\u200d\U0001f466\u200d\U0001f466,family woman boy boy
👩‍👧, famille femme fille ,\U0001f469\u200d\U0001f467,family woman girl
👩‍👧‍👦, famille femme fille garçon ,\U0001f469\u200d\U0001f467\u200d\U0001f466,family woman girl boy
👩‍👧‍👧, femme fille famille fille ,\U0001f469\u200d\U0001f467\u200d\U0001f467,family woman girl girl
👩‍👩‍👦, femme femme famille garçon ,\U0001f469\u200d\U0001f469\u200d\U0001f466,family woman woman boy
👩‍👩‍👦‍👦, famille femme femme garçon garçon ,\U0001f469\u200d\U0001f469\u200d\U0001f466\u200d\U0001f466,family woman woman boy boy
👩‍👩‍👧, femme famille femme fille ,\U0001f469\u200d\U0001f469\u200d\U0001f467,family woman woman girl
👩‍👩‍👧‍👦, femme famille femme fille garçon ,\U0001f469\u200d\U0001f469\u200d\U0001f467\u200d\U0001f466,family woman woman girl boy
👩‍👩‍👧‍👧, femme famille femme fille fille ,\U0001f469\u200d\U0001f469\u200d\U0001f467\u200d\U0001f467,family woman woman girl girl
⏩, avance rapide ,\u23e9,fast forward
⏬, double flèche vers le bas ,\u23ec,arrow double down
⏪, retour rapide ,\u23ea,rewind
⏫, double flèche haut ,\u23eb,arrow double up
📠, fax ,\U0001f4e0,fax
😨, signe femme ,\U0001f628,fearful
♀, ,\u2640,female sign
🎡, peur roue ,\U0001f3a1,ferris wheel
⛴, Ferry ,\u26f4,ferry
🏑, bâton de hockey sur gazon et balle ,\U0001f3d1,field hockey stick and ball
🗄, classeur ,\U0001f5c4,file cabinet
📁, dossier ,\U0001f4c1,file folder
🎞, films cadres ,\U0001f39e,film frames
📽, projecteur de film ,\U0001f4fd,film projector
🔥, feu ,\U0001f525,fire
🧯, extincteur ,\U0001f9ef,fire extinguisher
🧨, pétard ,\U0001f9e8,firecracker
🚒, autopompe ,\U0001f692,fire engine
🎆, feux d'artifice ,\U0001f386,fireworks
🌓, premier quart de lune ,\U0001f313,first quarter moon
🌛, premier trimestre lune avec le visage ,\U0001f31b,first quarter moon with face
🐟, poisson ,\U0001f41f,fish
🍥, gâteau poisson ,\U0001f365,fish cake
🎣, canne à pêche et poisson ,\U0001f3a3,fishing pole and fish
🕠, clock530 ,\U0001f560,clock530
🕔, clock5 ,\U0001f554,clock5
⛳, golf ,\u26f3,golf
🦩, flamant ,\U0001f9a9,flamingo
🔦, lampe de poche ,\U0001f526,flashlight
🥿, chaussures plates ,\U0001f97f,flat shoe
⚜, fleur de lis ,\u269c,fleur  de  lis
💪, muscle ,\U0001f4aa,muscle
💪🏿, tonicité de la peau biceps fléchis foncé ,\U0001f4aa\U0001f3ff,flexed biceps dark skin tone
💪🏻, biceps fléchis teint clair ,\U0001f4aa\U0001f3fb,flexed biceps light skin tone
💪🏾, teint biceps fléchis moyen foncé ,\U0001f4aa\U0001f3fe,flexed biceps medium-dark skin tone
💪🏼, biceps fléchis s moyennes lumière ton parent ,\U0001f4aa\U0001f3fc,flexed biceps medium-light skin tone
💪🏽, teint moyen biceps fléchis ,\U0001f4aa\U0001f3fd,flexed biceps medium skin tone
💾, disquette ,\U0001f4be,floppy disk
🎴, cartes à jouer de fleurs ,\U0001f3b4,flower playing cards
😳, rincée ,\U0001f633,flushed
🥏, disque volant ,\U0001f94f,flying disc
🛸, soucoupe volante ,\U0001f6f8,flying saucer
🌫, brouillard ,\U0001f32b,fog
🌁, brumeuse ,\U0001f301,foggy
🙏, prier ,\U0001f64f,pray
🙏🏿, mains teint foncé plié ,\U0001f64f\U0001f3ff,folded hands dark skin tone
🙏🏻, teint lumière mains pliées ,\U0001f64f\U0001f3fb,folded hands light skin tone
🙏🏾, moyen foncé teint mains jointes ,\U0001f64f\U0001f3fe,folded hands medium-dark skin tone
🙏🏼, mains jointes teint moyen lumière ,\U0001f64f\U0001f3fc,folded hands medium-light skin tone
🙏🏽, teint moyen mains pliées ,\U0001f64f\U0001f3fd,folded hands medium skin tone
🦶, pied ,\U0001f9b6,foot
👣, empreinte ,\U0001f463,footprints
🍴, fourchette et un couteau ,\U0001f374,fork and knife
🍽, fourchette et un couteau avec plaque ,\U0001f37d,fork and knife with plate
🥠, biscuit de fortune ,\U0001f960,fortune cookie
⛲, fontaine ,\u26f2,fountain
🖋, abaisser stylo plume gauche ,\U0001f58b,lower left fountain pen
🕟, clock430 ,\U0001f55f,clock430
🍀, trèfle à quatre feuilles ,\U0001f340,four leaf clover
🕓, clock4 ,\U0001f553,clock4
🦊, visage de renard ,\U0001f98a,fox face
🖼, frame avec photo ,\U0001f5bc,frame with picture
🍟, frites ,\U0001f35f,fries
🍤, crevettes frites ,\U0001f364,fried shrimp
🐸, grenouille ,\U0001f438,frog
🐥, poussin éclos ,\U0001f425,hatched chick
☹, blanc visage renfrogné ,\u2639,white frowning face
😦, fronçant les sourcils ,\U0001f626,frowning
⛽, POMPE à ESSENCE ,\u26fd,fuelpump
🌕, pleine lune ,\U0001f315,full moon
🌝, pleine lune avec le visage ,\U0001f31d,full moon with face
⚱, urne funéraire ,\u26b1,funeral urn
🎲, die jeu ,\U0001f3b2,game die
🧄, ail ,\U0001f9c4,garlic
⚙, matériel ,\u2699,gear
💎, gemme ,\U0001f48e,gem
🧞, genie ,\U0001f9de,genie
👻, fantôme ,\U0001f47b,ghost
🦒, girafe ,\U0001f992,giraffe
👧, fille ,\U0001f467,girl
👧🏿, fille teint foncé ,\U0001f467\U0001f3ff,girl dark skin tone
👧🏻, fille teint lumière ,\U0001f467\U0001f3fb,girl light skin tone
👧🏾, fille moyenne noir teint ,\U0001f467\U0001f3fe,girl medium-dark skin tone
👧🏼, fille teint moyen lumière ,\U0001f467\U0001f3fc,girl medium-light skin tone
👧🏽, ton fille peau moyenne ,\U0001f467\U0001f3fd,girl medium skin tone
🥛, verre de lait ,\U0001f95b,glass of milk
👓, lunettes ,\U0001f453,eyeglasses
🌎, amériques de terre ,\U0001f30e,earth americas
🌏, terre asie ,\U0001f30f,earth asia
🌍, terre afrique ,\U0001f30d,earth africa
🌐, monde avec méridiens ,\U0001f310,globe with meridians
🧤, gants ,\U0001f9e4,gloves
🌟, star2 ,\U0001f31f,star2
🥅, but dans un filet ,\U0001f945,goal net
🐐, chèvre ,\U0001f410,goat
👺, gobelin japonais ,\U0001f47a,japanese goblin
🥽, lunettes ,\U0001f97d,goggles
🦍, gorille ,\U0001f98d,gorilla
🎓, planche à mortier ,\U0001f393,mortar board
🍇, raisins ,\U0001f347,grapes
🍏, pomme verte ,\U0001f34f,green apple
📗, livre vert ,\U0001f4d7,green book
🟢, cercle vert ,\U0001f7e2,green circle
💚, coeur vert ,\U0001f49a,green heart
🥗, salade verte ,\U0001f957,green salad
🟩, carré vert ,\U0001f7e9,green square
😬, grimacer ,\U0001f62c,grimacing
😺, chat smiley ,\U0001f63a,smiley cat
😸, chat sourire ,\U0001f638,smile cat
😀, sourire ,\U0001f600,grinning
😃, ,\U0001f603,smiley
😄, sourire sueur ,\U0001f604,smile
😅, grimaçant ,\U0001f605,sweat smile
😆, smiley satisfait ,\U0001f606,satisfied
💗, heartpulse ,\U0001f497,heartpulse
💂, guardsman ,\U0001f482,guardsman
💂🏿, garde le teint foncé ,\U0001f482\U0001f3ff,guard dark skin tone
💂🏻, garder le teint clair ,\U0001f482\U0001f3fb,guard light skin tone
💂🏾, garde le teint moyen foncé ,\U0001f482\U0001f3fe,guard medium-dark skin tone
💂🏼, garde le teint moyen clair ,\U0001f482\U0001f3fc,guard medium-light skin tone
💂🏽, garde le teint moyen ,\U0001f482\U0001f3fd,guard medium skin tone
🦮, chien guide ,\U0001f9ae,guide dog
🎸, guitare ,\U0001f3b8,guitar
🍔, hamburgers ,\U0001f354,hamburger
🔨, marteau ,\U0001f528,hammer
⚒, marteau et ramasser ,\u2692,hammer and pick
🛠, marteau et clé ,\U0001f6e0,hammer and wrench
🐹, hamster ,\U0001f439,hamster
🖐, Lever la main avec les doigts évasé ,\U0001f590,raised hand with fingers splayed
🖐🏿, main avec les doigts évasés teint foncé ,\U0001f590\U0001f3ff,hand with fingers splayed dark skin tone
🖐🏻, main avec les doigts évasés teint clair ,\U0001f590\U0001f3fb,hand with fingers splayed light skin tone
🖐🏾, main avec les doigts évasé teint moyen foncé ,\U0001f590\U0001f3fe,hand with fingers splayed medium-dark skin tone
🖐🏼, main avec les doigts moyen évasé tonus de la peau -light ,\U0001f590\U0001f3fc,hand with fingers splayed medium-light skin tone
🖐🏽, main avec les doigts évasé teint moyen ,\U0001f590\U0001f3fd,hand with fingers splayed medium skin tone
👜, sac à main ,\U0001f45c,handbag
🤝, poignée de main ,\U0001f91d,handshake
🐣, chick éclosion ,\U0001f423,hatching chick
🎧, écouteurs ,\U0001f3a7,headphones
🙉, entendre pas mal ,\U0001f649,hear no evil
💟, décoration coeur ,\U0001f49f,heart decoration
♥, coeurs ,\u2665,hearts
💘, cupidon ,\U0001f498,cupid
💝, coeur cadeau ,\U0001f49d,gift heart
✔, coche lourde ,\u2714,heavy check mark
➗, signe de division lourde ,\u2797,heavy division sign
💲, signe dollar lourd ,\U0001f4b2,heavy dollar sign
❣, coeur lourd ornement point d'exclamation ,\u2763,heavy heart exclamation mark ornament
⭕, o ,\u2b55,o
➖, lourde signe moins ,\u2796,heavy minus sign
✖, multiplication lourde x ,\u2716,heavy multiplication x
➕, lourd signe plus ,\u2795,heavy plus sign
🦔, hérisson ,\U0001f994,hedgehog
🚁, hélicoptère ,\U0001f681,helicopter
🌿, herbe ,\U0001f33f,herb
🌺, hibiscus ,\U0001f33a,hibiscus
👠, talon haut ,\U0001f460,high heel
🚄, côté bullettrain ,\U0001f684,bullettrain side
⚡, zapper ,\u26a1,zap
🥾, botte de randonnée ,\U0001f97e,hiking boot
🛕, temple hindu ,\U0001f6d5,hindu temple
🦛, hippopotamus ,\U0001f99b,hippopotamus
🕳, trou ,\U0001f573,hole
🍯, pot de miel ,\U0001f36f,honey pot
🐝, abeille ,\U0001f41d,bee
🚥, trafic lumière ,\U0001f6a5,traffic light
🐴, visage de cheval ,\U0001f434,horse face
🏇, courses de chevaux ,\U0001f3c7,horse racing
🏇🏿, courses de chevaux carnation sombre ,\U0001f3c7\U0001f3ff,horse racing dark skin tone
🏇🏻, course cheval carnation lumière ,\U0001f3c7\U0001f3fb,horse racing light skin tone
🏇🏾, courses de chevaux m oyen foncé teint ,\U0001f3c7\U0001f3fe,horse racing medium-dark skin tone
🏇🏼, teint moyen-lumière des courses de chevaux ,\U0001f3c7\U0001f3fc,horse racing medium-light skin tone
🏇🏽, carnation moyen courses de chevaux ,\U0001f3c7\U0001f3fd,horse racing medium skin tone
🏥, hôpital ,\U0001f3e5,hospital
☕, café ,\u2615,coffee
🌭, hot dog ,\U0001f32d,hot dog
🥵, visage chaud ,\U0001f975,hot face
🌶, piment ,\U0001f336,hot pepper
♨, hotsprings ,\u2668,hotsprings
🏨, hôtel ,\U0001f3e8,hotel
⌛, Hourglass ,\u231b,hourglass
⏳, sable qui coule Hourglass ,\u23f3,hourglass flowing sand
🏠, maison ,\U0001f3e0,house
🏡, maison avec jardin ,\U0001f3e1,house with garden
🏘, maison bâtiments ,\U0001f3d8,house buildings
🤗, face moulants ,\U0001f917,hugging face
💯,100,\U0001f4af,100
😯, feutré ,\U0001f62f,hushed
🧊, glace ,\U0001f9ca,ice
🍨, crème glacée ,\U0001f368,ice cream
🏒, bâton de hockey sur glace et rondelle ,\U0001f3d2,ice hockey stick and puck
⛸, patin à glace ,\u26f8,ice skate
📥, plateau de boîte de réception ,\U0001f4e5,inbox tray
📨, enveloppe entrante ,\U0001f4e8,incoming envelope
☝, pointer vers le haut ,\u261d,point up
☝🏿, index pointant vers le haut teint foncé ,\u261d\U0001f3ff,index pointing up dark skin tone
☝🏻, index pointant vers le haut teint clair ,\u261d\U0001f3fb,index pointing up light skin tone
☝🏾, index pointant vers le haut moyen carnation -Dark ,\u261d\U0001f3fe,index pointing up medium-dark skin tone
☝🏼, index pointant vers le haut le teint moyen clair ,\u261d\U0001f3fc,index pointing up medium-light skin tone
☝🏽, index pointant vers le haut le teint moyen ,\u261d\U0001f3fd,index pointing up medium skin tone
♾, infini ,\u267e,infinity
ℹ, source d'information ,\u2139,information source
🔤, abc ,\U0001f524,abc
🔡, abcd ,\U0001f521,abcd
🔠, abcd capitale ,\U0001f520,capital abcd
🔢,1234,\U0001f522,1234
🔣, symboles ,\U0001f523,symbols
🎃, lanterne du cric o ,\U0001f383,jack o lantern
👖, jean ,\U0001f456,jeans
🧩, scie sauteuse ,\U0001f9e9,jigsaw
🃏, farceur noir ,\U0001f0cf,black joker
🕹, joystick ,\U0001f579,joystick
🕋, Kaaba ,\U0001f54b,kaaba
🦘, Kangaroo ,\U0001f998,kangaroo
🔑, clé ,\U0001f511,key
⌨, clavier ,\u2328,keyboard
#️⃣, keycap # ,#\ufe0f\u20e3,keycap #
*️⃣, keycap * ,*\ufe0f\u20e3,keycap *
0️⃣, zero ,0\ufe0f\u20e3,zero
1️⃣, ,1\ufe0f\u20e3,one
🔟, dix ,\U0001f51f,ten
2️⃣, deux ,2\ufe0f\u20e3,two
3️⃣, trois ,3\ufe0f\u20e3,three
4️⃣, quatre ,4\ufe0f\u20e3,four
5️⃣, cinq ,5\ufe0f\u20e3,five
6️⃣, six ,6\ufe0f\u20e3,six
7️⃣, sept ,7\ufe0f\u20e3,seven
8️⃣, huit ,8\ufe0f\u20e3,eight
9️⃣, neuf ,9\ufe0f\u20e3,nine
🛴, trottinette ,\U0001f6f4,kick scooter
👘, kimono ,\U0001f458,kimono
💋, marque kiss ,\U0001f48b,kiss mark
👨‍❤️‍💋‍👨, homme homme baiser ,\U0001f468\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f468,kiss man man
👩‍❤️‍💋‍👨, femme baiser homme ,\U0001f469\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f468,kiss woman man
👩‍❤️‍💋‍👩, baiser femme femme ,\U0001f469\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f469,kiss woman woman
😽, embrasser chat ,\U0001f63d,kissing cat
😗, embrasser ,\U0001f617,kissing
😚, embrasser yeux fermés ,\U0001f61a,kissing closed eyes
😙, embrasser sourire yeux ,\U0001f619,kissing smiling eyes
🔪, couteau ,\U0001f52a,knife
🪁, kite ,\U0001fa81,kite
🥝, fruits kiwi ,\U0001f95d,kiwi fruit
🐨, koala ,\U0001f428,koala
🥼, blouse de laboratoire ,\U0001f97c,lab coat
🏷, étiquette ,\U0001f3f7,label
🥍, Lacrosse ,\U0001f94d,lacrosse
🐞, coléoptère ,\U0001f41e,beetle
💻, ordinateur ,\U0001f4bb,computer
🔷, gros diamant bleu ,\U0001f537,large blue diamond
🔶, gros diamant orange ,\U0001f536,large orange diamond
🌗, lune au dernier trimestre ,\U0001f317,last quarter moon
🌜, dernier quart er lune avec le visage ,\U0001f31c,last quarter moon with face
⏮, gauche noir pointant à double triangle avec barre verticale ,\u23ee,black left  pointing double triangle with vertical bar
✝, croix latine ,\u271d,latin cross
🍃, feuilles ,\U0001f343,leaves
🥬, feuilles vertes ,\U0001f96c,leafy green
📒, grand livre ,\U0001f4d2,ledger
🤛, poing tourné vers la gauche ,\U0001f91b,left-facing fist
🤛🏿, gauche face carnation poing sombre ,\U0001f91b\U0001f3ff,left-facing fist dark skin tone
🤛🏻, gauche face à carnation poing léger ,\U0001f91b\U0001f3fb,left-facing fist light skin tone
🤛🏾, gauche face à moyen poing carnation -Dark ,\U0001f91b\U0001f3fe,left-facing fist medium-dark skin tone
🤛🏼, gauche face carnation moyenne-lumière poing ,\U0001f91b\U0001f3fc,left-facing fist medium-light skin tone
🤛🏽, gauche face carnation moyenne poing ,\U0001f91b\U0001f3fd,left-facing fist medium skin tone
↔, gauche flèche droite ,\u2194,left right arrow
⬅, flèche gauche ,\u2b05,arrow left
↪, flèche crochet droit ,\u21aa,arrow right hook
🛅, bagages gauche ,\U0001f6c5,left luggage
🗨, info-bulle gauche ,\U0001f5e8,left speech bubble
🦵, jambe ,\U0001f9b5,leg
🍋, citron ,\U0001f34b,lemon
🐆, léopard ,\U0001f406,leopard
🎚, curseur de niveau ,\U0001f39a,level slider
💡, ampoule ,\U0001f4a1,bulb
🚈, train léger sur rail ,\U0001f688,light rail
🔗, lien ,\U0001f517,link
🖇, liés paperclips ,\U0001f587,linked paperclips
🦁, visage de lion ,\U0001f981,lion face
💄, rouge à lèvres ,\U0001f484,lipstick
🚮, litière mettre à sa place ,\U0001f6ae,put litter in its place
🦎, lézard ,\U0001f98e,lizard
🦙, llama ,\U0001f999,llama
🦞, homard ,\U0001f99e,lobster
🔒, serrure ,\U0001f512,lock
🔐, cadenas fermé à clé ,\U0001f510,closed lock with key
🔏, serrure avec stylo à encre ,\U0001f50f,lock with ink pen
🚂, locomotive à vapeur ,\U0001f682,steam locomotive
🍭, sucettes ,\U0001f36d,lollipop
🧴, bouteille de lotion ,\U0001f9f4,lotion bottle
😭, sanglot ,\U0001f62d,sob
📢, haut-parleur ,\U0001f4e2,loudspeaker
🤟, amour-vous geste ,\U0001f91f,love-you gesture
🤟🏿, amour-vous geste teint foncé ,\U0001f91f\U0001f3ff,love-you gesture dark skin tone
🤟🏻, amour-vous geste teint lumière ,\U0001f91f\U0001f3fb,love-you gesture light skin tone
🤟🏾, amour-vous la peau moyenne noir geste ton ,\U0001f91f\U0001f3fe,love-you gesture medium-dark skin tone
🤟🏼, amour-vous le teint moyen léger geste ,\U0001f91f\U0001f3fc,love-you gesture medium-light skin tone
🤟🏽, amour-vous le teint moyen geste ,\U0001f91f\U0001f3fd,love-you gesture medium skin tone
🏩, amour hôtel ,\U0001f3e9,love hotel
💌, lettre d'amour ,\U0001f48c,love letter
🧳, bagages ,\U0001f9f3,luggage
🤥, couché visage ,\U0001f925,lying face
🧙, mage ,\U0001f9d9,mage
🧙🏿, mage carnation sombre ,\U0001f9d9\U0001f3ff,mage dark skin tone
🧙🏻, mage teint clair ,\U0001f9d9\U0001f3fb,mage light skin tone
🧙🏾, mage teint moyen-foncé ,\U0001f9d9\U0001f3fe,mage medium-dark skin tone
🧙🏼, mage moyen clair teint ,\U0001f9d9\U0001f3fc,mage medium-light skin tone
🧙🏽, ton mage peau moyenne ,\U0001f9d9\U0001f3fd,mage medium skin tone
🧲, aimant ,\U0001f9f2,magnet
🔍, mag ,\U0001f50d,mag
🔎, mag right ,\U0001f50e,mag right
🀄, ma hjong ,\U0001f004,mahjong
♂, signe homme ,\u2642,male sign
👨, homme ,\U0001f468,man
👫," couple, ",\U0001f46b,couple
👨‍🎨, homme artiste ,\U0001f468\u200d\U0001f3a8,man artist
👨🏿‍🎨, homme artiste teint foncé ,\U0001f468\U0001f3ff\u200d\U0001f3a8,man artist dark skin tone
👨🏻‍🎨, homme artiste teint clair ,\U0001f468\U0001f3fb\u200d\U0001f3a8,man artist light skin tone
👨🏾‍🎨, homme artiste moyen foncé teint ,\U0001f468\U0001f3fe\u200d\U0001f3a8,man artist medium-dark skin tone
👨🏼‍🎨, homme artiste moyen léger teint ,\U0001f468\U0001f3fc\u200d\U0001f3a8,man artist medium-light skin tone
👨🏽‍🎨, homme artiste teint moyen ,\U0001f468\U0001f3fd\u200d\U0001f3a8,man artist medium skin tone
👨‍🚀, homme astronaute ,\U0001f468\u200d\U0001f680,man astronaut
👨🏿‍🚀, homme carnation astronaute noir ,\U0001f468\U0001f3ff\u200d\U0001f680,man astronaut dark skin tone
👨🏻‍🚀, homme astronaute teint lumière ,\U0001f468\U0001f3fb\u200d\U0001f680,man astronaut light skin tone
👨🏾‍🚀, homme astronaute moyen foncé teint ,\U0001f468\U0001f3fe\u200d\U0001f680,man astronaut medium-dark skin tone
👨🏼‍🚀, homme teint moyen-lumière astronaute ,\U0001f468\U0001f3fc\u200d\U0001f680,man astronaut medium-light skin tone
👨🏽‍🚀, homme teint moyen astronaute ,\U0001f468\U0001f3fd\u200d\U0001f680,man astronaut medium skin tone
🚴‍♂️, vélo homme ,\U0001f6b4\u200d\u2642\ufe0f,man biking
🚴🏿‍♂️, homme vélo teint foncé ,\U0001f6b4\U0001f3ff\u200d\u2642\ufe0f,man biking dark skin tone
🚴🏻‍♂️, homme vélo carnation lumière ,\U0001f6b4\U0001f3fb\u200d\u2642\ufe0f,man biking light skin tone
🚴🏾‍♂️, vélo homme moyen foncé teint ,\U0001f6b4\U0001f3fe\u200d\u2642\ufe0f,man biking medium-dark skin tone
🚴🏼‍♂️, homme teint moyen-lumière vélo ,\U0001f6b4\U0001f3fc\u200d\u2642\ufe0f,man biking medium-light skin tone
🚴🏽‍♂️, homme moyen carnation vélo ,\U0001f6b4\U0001f3fd\u200d\u2642\ufe0f,man biking medium skin tone
⛹️‍♂️, homme balle rebondissante ,\u26f9\ufe0f\u200d\u2642\ufe0f,man bouncing ball
⛹🏿‍♂️, homme balle bondissante teint foncé ,\u26f9\U0001f3ff\u200d\u2642\ufe0f,man bouncing ball dark skin tone
⛹🏻‍♂️, homme balle bondissante teint clair ,\u26f9\U0001f3fb\u200d\u2642\ufe0f,man bouncing ball light skin tone
⛹🏾‍♂️, peau homme rebondissant moyen foncé balle ton ,\u26f9\U0001f3fe\u200d\u2642\ufe0f,man bouncing ball medium-dark skin tone
⛹🏼‍♂️, balle rebondissante homme moyen léger teint ,\u26f9\U0001f3fc\u200d\u2642\ufe0f,man bouncing ball medium-light skin tone
⛹🏽‍♂️, homme rebondissant le teint moyen de balle ,\u26f9\U0001f3fd\u200d\u2642\ufe0f,man bouncing ball medium skin tone
🙇‍♂️, homme saluant ,\U0001f647\u200d\u2642\ufe0f,man bowing
🙇🏿‍♂️, homme saluant le teint foncé ,\U0001f647\U0001f3ff\u200d\u2642\ufe0f,man bowing dark skin tone
🙇🏻‍♂️, homme s'inclinant le teint clair ,\U0001f647\U0001f3fb\u200d\u2642\ufe0f,man bowing light skin tone
🙇🏾‍♂️, homme s'inclinant la peau moyenne noir ton ,\U0001f647\U0001f3fe\u200d\u2642\ufe0f,man bowing medium-dark skin tone
🙇🏼‍♂️, homme saluant le teint moyen clair ,\U0001f647\U0001f3fc\u200d\u2642\ufe0f,man bowing medium-light skin tone
🙇🏽‍♂️, homme saluant le teint moyen ,\U0001f647\U0001f3fd\u200d\u2642\ufe0f,man bowing medium skin tone
🤸‍♂️, l'homme se renversant ,\U0001f938\u200d\u2642\ufe0f,man cartwheeling
🤸🏿‍♂️, homme teint renversant sur le côté sombre ,\U0001f938\U0001f3ff\u200d\u2642\ufe0f,man cartwheeling dark skin tone
🤸🏻‍♂️, homme teint renversant sur la lumière ,\U0001f938\U0001f3fb\u200d\u2642\ufe0f,man cartwheeling light skin tone
🤸🏾‍♂️, homme peau foncé moyen se renversant à ne ,\U0001f938\U0001f3fe\u200d\u2642\ufe0f,man cartwheeling medium-dark skin tone
🤸🏼‍♂️, homme se renversant sur le moyen léger teint ,\U0001f938\U0001f3fc\u200d\u2642\ufe0f,man cartwheeling medium-light skin tone
🤸🏽‍♂️, homme renversant sur le teint moyen ,\U0001f938\U0001f3fd\u200d\u2642\ufe0f,man cartwheeling medium skin tone
🧗‍♂️, escalade homme ,\U0001f9d7\u200d\u2642\ufe0f,man climbing
🧗🏿‍♂️, escalade homme teint foncé ,\U0001f9d7\U0001f3ff\u200d\u2642\ufe0f,man climbing dark skin tone
🧗🏻‍♂️, homme escalade teint clair ,\U0001f9d7\U0001f3fb\u200d\u2642\ufe0f,man climbing light skin tone
🧗🏾‍♂️, homme teint moyen foncé escalade ,\U0001f9d7\U0001f3fe\u200d\u2642\ufe0f,man climbing medium-dark skin tone
🧗🏼‍♂️, homme teint moyen-lumière escalade ,\U0001f9d7\U0001f3fc\u200d\u2642\ufe0f,man climbing medium-light skin tone
🧗🏽‍♂️, homme moyen d'escalade peau ton ,\U0001f9d7\U0001f3fd\u200d\u2642\ufe0f,man climbing medium skin tone
👷‍♂️, travailleur de la construction de l'homme ,\U0001f477\u200d\u2642\ufe0f,man construction worker
👷🏿‍♂️, homme travailleur de la construction teint foncé ,\U0001f477\U0001f3ff\u200d\u2642\ufe0f,man construction worker dark skin tone
👷🏻‍♂️, homme travailleur de la construction teint clair ,\U0001f477\U0001f3fb\u200d\u2642\ufe0f,man construction worker light skin tone
👷🏾‍♂️, homme teint moyen foncé travailleur de la construction ,\U0001f477\U0001f3fe\u200d\u2642\ufe0f,man construction worker medium-dark skin tone
👷🏼‍♂️, homme teint moyen-léger travailleur de la construction ,\U0001f477\U0001f3fc\u200d\u2642\ufe0f,man construction worker medium-light skin tone
👷🏽‍♂️, homme teint moyen des travailleurs de la construction ,\U0001f477\U0001f3fd\u200d\u2642\ufe0f,man construction worker medium skin tone
👨‍🍳, homme cuisinier ,\U0001f468\u200d\U0001f373,man cook
👨🏿‍🍳, homme cuire le teint foncé ,\U0001f468\U0001f3ff\u200d\U0001f373,man cook dark skin tone
👨🏻‍🍳, homme cuire le teint clair ,\U0001f468\U0001f3fb\u200d\U0001f373,man cook light skin tone
👨🏾‍🍳, homme cuire le teint moyen foncé ,\U0001f468\U0001f3fe\u200d\U0001f373,man cook medium-dark skin tone
👨🏼‍🍳, homme cuire le teint moyen lumière ,\U0001f468\U0001f3fc\u200d\U0001f373,man cook medium-light skin tone
👨🏽‍🍳, homme cuire le teint moyen ,\U0001f468\U0001f3fd\u200d\U0001f373,man cook medium skin tone
